doi,title,year,citations,is_oa,type
https://doi.org/10.1016/j.corsci.2020.108954,Corrosion resistance enhancement of CoCrFeMnNi high-entropy alloy fabricated by additive manufacturing,2020,301,False,article
https://doi.org/10.1016/j.corsci.2017.05.003,Improved corrosion behaviour of electron beam melted Ti-6Al–4V alloy in phosphate buffered saline,2017,300,True,article
https://doi.org/10.1016/j.corsci.2017.04.017,Effect of substitution on corrosion inhibition properties of 2-(substituted phenyl) benzimidazole derivatives on mild steel in 1 M HCl solution: A combined experimental and theoretical approach,2017,299,False,article
https://doi.org/10.1016/j.corsci.2021.109715,2-Mercaptobenzimidazole-inbuilt metal-organic-frameworks modified graphene oxide towards intelligent and excellent anti-corrosion coating,2021,298,False,article
https://doi.org/10.1016/j.corsci.2016.07.015,"In situ synthesis, electrochemical and quantum chemical analysis of an amino acid-derived ionic liquid inhibitor for corrosion protection of mild steel in 1M HCl solution",2016,297,False,article
https://doi.org/10.1016/j.corsci.2019.108337,Hydrogen embrittlement behavior of SUS301L-MT stainless steel laser-arc hybrid welded joint localized zones,2019,296,False,article
https://doi.org/10.1016/j.corsci.2017.07.011,Comprehensive screening of Mg corrosion inhibitors,2017,293,False,article
https://doi.org/10.1016/j.corsci.2015.05.065,Correlating electronic structure with corrosion inhibition potentiality of some bis-benzimidazole derivatives for mild steel in hydrochloric acid: Combined experimental and theoretical studies,2015,290,False,article
https://doi.org/10.1016/j.corsci.2019.01.019,"Green synthesis of 1-benzyl-4-phenyl-1H-1,2,3-triazole, its application as corrosion inhibitor for mild steel in acidic medium and new approach of classical electrochemical analyses",2019,290,False,article
https://doi.org/10.1016/j.corsci.2019.108193,Enhanced anticorrosion performance of copper by novel N-doped carbon dots,2019,290,False,article
https://doi.org/10.1016/j.corsci.2020.108871,A theoretical and experimental study of castor oil-based inhibitor for corrosion inhibition of mild steel in acidic medium at elevated temperatures,2020,288,False,article
https://doi.org/10.1016/j.corsci.2016.05.002,A combined electrochemical and theoretical study into the effect of 2-((thiazole-2-ylimino)methyl)phenol as a corrosion inhibitor for mild steel in a highly acidic environment,2016,287,True,article
https://doi.org/10.1016/j.corsci.2019.108161,On the oxidation mechanism of refractory high entropy alloys,2019,278,True,article
https://doi.org/10.1016/j.corsci.2017.04.011,A new approach for enhancement of the corrosion protection properties and interfacial adhesion bonds between the epoxy coating and steel substrate through surface treatment by covalently modified amino functionalized graphene oxide film,2017,276,False,article
https://doi.org/10.1016/j.corsci.2021.109341,A non-equiatomic FeNiCoCr high-entropy alloy with excellent anti-corrosion performance and strength-ductility synergy,2021,270,False,article
https://doi.org/10.1016/j.corsci.2016.05.019,Effect of heat treatment on corrosion behavior of AZ63 magnesium alloy in 3.5 wt.% sodium chloride solution,2016,266,False,article
https://doi.org/10.1016/j.corsci.2016.01.027,The effect of simulated concrete pore solution composition and chlorides on the electronic properties of passive films on carbon steel rebar,2016,265,False,article
https://doi.org/10.1016/j.corsci.2015.04.015,Airborne chloride deposit and its effect on marine atmospheric corrosion of mild steel,2015,258,False,article
https://doi.org/10.1016/j.corsci.2018.06.022,Durability of fiber reinforced polymer (FRP) in simulated seawater sea sand concrete (SWSSC) environment,2018,258,True,article
https://doi.org/10.1016/j.corsci.2022.110666,"Corrosion and passive behavior of AlxCrFeNi3−x (x = 0.6, 0.8, 1.0) eutectic high entropy alloys in chloride environment",2022,258,True,article
https://doi.org/10.1016/j.corsci.2015.01.027,Influence of Ca and Zn on the microstructure and corrosion of biodegradable Mg–Ca–Zn alloys,2015,254,False,article
https://doi.org/10.1016/j.corsci.2015.11.023,Comparison of barrier properties for a superhydrophobic epoxy coating under different simulated corrosion environments,2015,251,False,article
https://doi.org/10.1016/j.corsci.2016.04.001,A phase field model for simulating the pitting corrosion,2016,251,False,article
https://doi.org/10.1016/j.corsci.2019.02.019,Carboxamide derivatives as new corrosion inhibitors for mild steel protection in hydrochloric acid solution,2019,251,False,article
https://doi.org/10.1016/j.corsci.2016.08.012,Experimental and theoretical studies of benzothiazole derivatives as corrosion inhibitors for carbon steel in 1 M HCl,2016,249,False,article
https://doi.org/10.1016/j.corsci.2018.03.047,The anisotropic corrosion behaviour of wire arc additive manufactured Ti-6Al-4V alloy in 3.5% NaCl solution,2018,248,False,article
https://doi.org/10.1016/j.corsci.2015.02.024,Effect of grain size on pitting corrosion of 304L austenitic stainless steel,2015,247,False,article
https://doi.org/10.1016/j.corsci.2021.109427,Fundamental understanding on the effect of Cr on corrosion resistance of weathering steel in simulated tropical marine atmosphere,2021,246,False,article
https://doi.org/10.1016/j.corsci.2019.04.001,Oxidation behavior of (Hf0.2Zr0.2Ta0.2Nb0.2Ti0.2)C high-entropy ceramics at 1073-1473 K in air,2019,245,False,article
https://doi.org/10.1016/j.corsci.2020.108740,"The corrosion behaviour of CoCrFeNi-x (x = Cu, Al, Sn) high entropy alloy systems in chloride solution",2020,245,True,article
https://doi.org/10.1016/j.corsci.2015.02.034,Relationship between structure and inhibition behaviour of quinolinium salts for mild steel corrosion: Experimental and theoretical approach,2015,242,False,article
https://doi.org/10.1016/j.corsci.2018.04.028,Enhanced corrosion resistance of AZ91 magnesium alloy through refinement and homogenization of surface microstructure by friction stir processing,2018,242,False,article
https://doi.org/10.1016/j.corsci.2018.09.010,Electrochemical behaviour of passive film formed on the surface of Ti-6Al-4V alloys fabricated by electron beam melting,2018,242,False,article
https://doi.org/10.1016/j.corsci.2017.08.004,Influence of crystallographic texture and grain size on the corrosion behaviour of as-extruded Mg alloy AZ31 sheets,2017,239,False,article
https://doi.org/10.1016/j.corsci.2018.10.034,One-step synthesis of superhydrophobic polyhedral oligomeric silsesquioxane-graphene oxide and its application in anti-corrosion and anti-wear fields,2018,239,False,article
https://doi.org/10.1016/j.corsci.2020.108507,Study of the surface oxides and corrosion behaviour of an equiatomic CoCrFeMnNi high entropy alloy by XPS and ToF-SIMS,2020,238,True,article
https://doi.org/10.1016/j.corsci.2016.02.036,Development of a predictive model for corrosion inhibition of carbon steel by imidazole and benzimidazole derivatives,2016,237,False,article
https://doi.org/10.1016/j.corsci.2016.03.004,Empirical and quantum chemical studies on the corrosion inhibition performance of some novel synthesized cationic gemini surfactants on carbon steel pipelines in acid pickling processes,2016,235,False,article
https://doi.org/10.1016/j.corsci.2016.11.012,Understanding the corrosion inhibition of carbon steel and copper in sulphuric acid medium by amino acids using electrochemical techniques allied to molecular modelling methods,2016,234,False,article
https://doi.org/10.1016/j.corsci.2016.04.021,Effect of porosity defects on the long-term corrosion behaviour of Fe-based amorphous alloy coated mild steel,2016,230,False,article
https://doi.org/10.1016/j.corsci.2016.04.034,Characterisation of rust surfaces formed on mild steel exposed to marine atmospheres using XRD and SEM/Micro-Raman techniques,2016,229,False,article
https://doi.org/10.1016/j.corsci.2018.01.046,A comparative study on fabrication of a highly effective corrosion protective system based on graphene oxide-polyaniline nanofibers/epoxy composite,2018,228,False,article
https://doi.org/10.1016/j.corsci.2019.05.022,In-situ intercalation of 8-hydroxyquinoline in Mg-Al LDH coating to improve the corrosion resistance of AZ31,2019,226,False,article
https://doi.org/10.1016/j.corsci.2015.06.035,SKPFM measured Volta potential correlated with strain localisation in microstructure to understand corrosion susceptibility of cold-rolled grade 2205 duplex stainless steel,2015,225,True,article
https://doi.org/10.1016/j.corsci.2015.02.009,Corrosion inhibition of biomimetic super-hydrophobic electrodeposition coatings on copper substrate,2015,225,False,article
https://doi.org/10.1016/j.corsci.2016.12.001,A comparative study on corrosion inhibitive effect of nitrate and phosphate intercalated Zn-Al- layered double hydroxides (LDHs) nanocontainers incorporated into a hybrid silane layer and their effect on cathodic delamination of epoxy topcoat,2016,225,False,article
https://doi.org/10.1016/j.corsci.2017.08.007,Microbiologically influenced corrosion of C1018 carbon steel by nitrate reducing Pseudomonas aeruginosa biofilm under organic carbon starvation,2017,224,False,article
https://doi.org/10.1016/j.corsci.2018.04.007,Role of Al2O3 inclusions on the localized corrosion of Q460NH weathering steel in marine environment,2018,224,False,article
https://doi.org/10.1016/j.corsci.2020.108520,Pitting behavior of SLM 316L stainless steel exposed to chloride environments with different aggressiveness: Pitting mechanism induced by gas pores,2020,224,False,article
https://doi.org/10.1016/j.corsci.2017.09.016,"Synthesis, electrochemical and quantum chemical studies of some prepared surfactants based on azodye and Schiff base as corrosion inhibitors for steel in acid medium",2017,223,False,article
https://doi.org/10.1016/j.corsci.2016.06.016,Self-healing plasma electrolytic oxidation coatings doped with benzotriazole loaded halloysite nanotubes on AM50 magnesium alloy,2016,222,True,article
https://doi.org/10.1016/j.corsci.2015.02.028,The corrosion performance and adhesion properties of the epoxy coating applied on the steel substrates treated by cerium-based conversion coatings,2015,221,False,article
https://doi.org/10.1016/j.corsci.2017.04.005,Transition from superhydrophilic to superhydrophobic state of laser textured stainless steel surface and its effect on corrosion resistance,2017,221,True,article
https://doi.org/10.1016/j.corsci.2019.06.029,"Microstructure, corrosion resistance and oxidation behavior of Cr-coatings on Zircaloy-4 prepared by vacuum arc plasma deposition",2019,221,False,article
https://doi.org/10.1016/j.corsci.2020.109082,"Synergistic effect of 2-mercaptobenzimidazole and octylphosphonic acid as corrosion inhibitors for copper and aluminium – An electrochemical, XPS, FTIR and DFT study",2020,220,False,article
https://doi.org/10.1016/j.corsci.2017.04.019,Reinforcing the corrosion protection property of epoxy coating by using graphene oxide–poly(urea–formaldehyde) composites,2017,217,False,article
https://doi.org/10.1016/j.corsci.2018.02.051,Designing for the chemical conversion coating with high corrosion resistance and low electrical contact resistance on AZ91D magnesium alloy,2018,217,False,article
https://doi.org/10.1016/j.corsci.2015.02.007,The application of benzimidazole and zinc cations intercalated sodium montmorillonite as smart ion exchange inhibiting pigments in the epoxy ester coating,2015,216,False,article
https://doi.org/10.1016/j.corsci.2015.02.027,A study of the oxidation of FeCrAl alloy in pressurized water and high-temperature steam environment,2015,215,False,article
https://doi.org/10.1016/j.corsci.2017.08.014,"Effect of extrusion on corrosion properties of Mg-2Ca-χAl (χ = 0, 2, 3, 5) alloys",2017,214,False,article
https://doi.org/10.1016/j.corsci.2016.10.025,The corrosion behavior and mechanism of carbon steel induced by extracellular polymeric substances of iron-oxidizing bacteria,2016,212,False,article
https://doi.org/10.1016/j.corsci.2018.11.007,Influence of inclusions on initiation of pitting corrosion and stress corrosion cracking of X70 steel in near-neutral pH environment,2018,212,False,article
https://doi.org/10.1016/j.corsci.2020.109076,Quantitative study of the corrosion evolution and stress corrosion cracking of high strength aluminum alloys in solution and thin electrolyte layer containing Cl-,2020,211,False,article
https://doi.org/10.1016/j.corsci.2019.108314,Electrochemical studies on the effect of residual stress on the corrosion of 316L manufactured by selective laser melting,2019,210,True,article
https://doi.org/10.1016/j.corsci.2017.09.027,Eco friendly green inhibitor Gum Arabic (GA) for the corrosion control of mild steel in hydrochloric acid medium,2017,209,False,article
https://doi.org/10.1016/j.corsci.2016.11.007,Effect of the graphene oxide additive on the corrosion resistance of the plasma electrolytic oxidation coating of the AZ31 magnesium alloy,2016,208,False,article
https://doi.org/10.1016/j.corsci.2015.01.049,Improvement of corrosion resistance and biocompatibility of rare-earth WE43 magnesium alloy by neodymium self-ion implantation,2015,207,False,article
https://doi.org/10.1016/j.corsci.2023.111017,Metastable pitting corrosion behavior and characteristics of passive film of laser powder bed fusion produced Ti–6Al–4V in NaCl solutions with different concentrations,2023,206,True,article
https://doi.org/10.1016/j.corsci.2015.10.002,The inhibition performance of long-chain alkyl-substituted benzimidazole derivatives for corrosion of mild steel in HCl,2015,205,False,article
https://doi.org/10.1016/j.corsci.2017.11.022,Processable poly(2-butylaniline)/hexagonal boron nitride nanohybrids for synergetic anticorrosive reinforcement of epoxy coating,2017,205,False,article
https://doi.org/10.1016/j.corsci.2016.07.013,The effect of TiC on the hydrogen induced ductility loss and trapping behavior of Fe-C-Ti alloys,2016,204,False,article
https://doi.org/10.1016/j.corsci.2019.108416,Benefit of the corrosion product film formed on a new weathering steel containing 3% nickel under marine atmosphere in Maldives,2019,204,False,article
https://doi.org/10.1016/j.corsci.2021.109727,"Evolution in microstructure, wear, corrosion, and tribocorrosion behavior of Mo-containing high-entropy alloy coatings fabricated by laser cladding",2021,204,False,article
https://doi.org/10.1016/j.corsci.2015.05.047,The anodic surface film and hydrogen evolution on Mg,2015,202,True,article
https://doi.org/10.1016/j.corsci.2018.08.035,Redox potential control in molten salt systems for corrosion mitigation,2018,202,True,article
https://doi.org/10.1016/j.corsci.2016.10.010,Composite magnesium phosphate coatings for improved corrosion resistance of magnesium AZ31 alloy,2016,200,False,article
https://doi.org/10.1016/j.corsci.2018.10.025,Effect of roughness on general corrosion and pitting of (FeCoCrNi)0.89(WC)0.11 high-entropy alloy composite in 3.5 wt.% NaCl solution,2018,200,False,article
https://doi.org/10.1016/j.corsci.2020.109064,Polydopamine modified ultrathin hydroxyapatite nanosheets for anti-corrosion reinforcement in polymeric coatings,2020,200,False,article
https://doi.org/10.1016/j.corsci.2018.04.041,Effect of Nb on the hydrogen-induced cracking of high-strength low-alloy steel,2018,199,False,article
https://doi.org/10.1016/j.corsci.2022.110333,Metastable pitting corrosion behavior of laser powder bed fusion produced Ti-6Al-4V in Hank’s solution,2022,199,True,article
https://doi.org/10.1016/j.corsci.2016.04.015,A novel combination approach for the preparation of superhydrophobic surface on copper and the consequent corrosion resistance,2016,198,False,article
https://doi.org/10.1016/j.corsci.2018.05.002,Review of recent progress in the study of corrosion products of steels in a hydrogen sulphide environment,2018,198,False,article
https://doi.org/10.1016/j.corsci.2020.108665,Polar group substituted imidazolium zwitterions as eco-friendly corrosion inhibitors for mild steel in acid solution,2020,198,False,article
https://doi.org/10.1016/j.corsci.2019.03.035,Task-specific ionic liquids as corrosion inhibitors on carbon steel in 0.5 M HCl solution: An experimental and theoretical study,2019,197,False,article
https://doi.org/10.1016/j.corsci.2020.108697,Towards understanding and prediction of atmospheric corrosion of an Fe/Cu corrosion sensor via machine learning,2020,197,True,article
https://doi.org/10.1016/j.corsci.2015.05.056,A corrosion-protective coating based on a solution-processable polymer-grafted graphene oxide nanocomposite,2015,196,False,article
https://doi.org/10.1016/j.corsci.2019.03.041,1-Ethyl 3-methylimidazolium thiocyanate ionic liquid as corrosion inhibitor of API 5L X52 steel in H2SO4 and HCl media,2019,195,False,article
https://doi.org/10.1016/j.corsci.2020.108825,Corrosion protective mechanism of smart graphene-based self-healing coating on carbon steel,2020,195,False,article
https://doi.org/10.1016/j.corsci.2018.03.021,Corrosion inhibition of 2024-T3 aluminum alloy in 3.5% NaCl by thiosemicarbazone derivatives,2018,194,False,article
https://doi.org/10.1016/j.corsci.2019.02.010,Green corrosion inhibitor for oilfield application I: Electrochemical assessment of 2-(2-pyridyl) benzimidazole for API X60 steel under sweet environment in NACE brine ID196,2019,192,False,article
https://doi.org/10.1016/j.corsci.2020.109065,Superior corrosion protection and adhesion strength of epoxy coating applied on AZ31 magnesium alloy pre-treated by PEO/Silane with inorganic and organic corrosion inhibitors,2020,191,False,article
https://doi.org/10.1016/j.corsci.2019.108346,Two novel chitosan derivatives as high efficient eco-friendly inhibitors for the corrosion of mild steel in acidic solution,2019,190,False,article
https://doi.org/10.1016/j.corsci.2017.02.008,Air-oxidation of FeCoNiCr-based quinary high-entropy alloys at 700–900 °C,2017,188,False,article
https://doi.org/10.1016/j.corsci.2017.05.021,Effect of cold deformation on the corrosion behaviour of UNS S31803 duplex stainless steel in simulated concrete pore solution,2017,188,False,article
https://doi.org/10.1016/j.corsci.2018.06.012,Designing and fabricating of single and double alkyl-chain indazole derivatives self-assembled monolayer for corrosion inhibition of copper,2018,188,False,article
https://doi.org/10.1016/j.corsci.2019.05.017,An interesting oxidation phenomenon of Cr coatings on Zry-4 substrates in high temperature steam environment,2019,187,False,article
https://doi.org/10.1016/j.corsci.2017.06.004,Influence of biomacromolecule DNA corrosion inhibitor on carbon steel,2017,185,False,article
https://doi.org/10.1016/j.corsci.2017.06.026,Multifunctional inhibition based on layered double hydroxides to comprehensively control corrosion of carbon steel in concrete,2017,185,False,article
https://doi.org/10.1016/j.corsci.2015.10.036,"Assessment of the inhibition efficiency of 3,4-diaminobenzonitrile against the corrosion of steel",2015,184,False,article
https://doi.org/10.1016/j.corsci.2016.03.019,Crystal-orientation-dependent corrosion behaviour of single crystals of a pure Mg and Mg-Al and Mg-Cu solid solutions,2016,184,False,article
https://doi.org/10.1016/j.corsci.2020.108993,Distinguishing two different microbiologically influenced corrosion (MIC) mechanisms using an electron mediator and hydrogen evolution detection,2020,183,False,article
https://doi.org/10.1016/j.corsci.2020.109099,Application of nanoporous cobalt-based ZIF-67 metal-organic framework (MOF) for construction of an epoxy-composite coating with superior anti-corrosion properties,2020,183,False,article
https://doi.org/10.1016/j.corsci.2021.109353,Synergy of Cu and Sb to enhance the resistance of 3%Ni weathering steel to marine atmospheric corrosion,2021,183,False,article
https://doi.org/10.1016/j.corsci.2015.10.013,Etching and heating treatment combined approach for superhydrophobic surface on brass substrates and the consequent corrosion resistance,2015,182,False,article
https://doi.org/10.1016/j.corsci.2017.12.012,Influence of tempering treatment on microstructure and pitting corrosion of 13 wt.% Cr martensitic stainless steel,2017,182,False,article
https://doi.org/10.1016/j.corsci.2018.08.048,"Electrochemical corrosion, hydrogen permeation and stress corrosion cracking behavior of E690 steel in thiosulfate-containing artificial seawater",2018,182,False,article
https://doi.org/10.1016/j.corsci.2021.109596,Two amino acid derivatives as high efficient green inhibitors for the corrosion of carbon steel in CO2-saturated formation water,2021,182,False,article
https://doi.org/10.1016/j.corsci.2017.10.009,Smart coating based on double stimuli-responsive microcapsules containing linseed oil and benzotriazole for active corrosion protection,2017,180,False,article
https://doi.org/10.1016/j.corsci.2019.02.005,Electrochemical investigation of increased carbon steel corrosion via extracellular electron transfer by a sulfate reducing bacterium under carbon source starvation,2019,180,False,article
https://doi.org/10.1016/j.corsci.2015.03.018,In vitro corrosion of as-extruded Mg–Ca alloys—The influence of Ca concentration,2015,179,False,article
https://doi.org/10.1016/j.corsci.2020.108883,Oxidation kinetics of Cr-coated zirconium alloy: Effect of coating thickness and microstructure,2020,179,True,article
https://doi.org/10.1016/j.corsci.2022.110396,Why CoCrFeMnNi HEA could not passivate in chloride solution? – A novel strategy to significantly improve corrosion resistance of CoCrFeMnNi HEA by N-alloying,2022,179,False,article
https://doi.org/10.1016/j.corsci.2022.110957,"Benzothiazole derivatives-based supramolecular assemblies as efficient corrosion inhibitors for copper in artificial seawater: Formation, interfacial release and protective mechanisms",2023,179,False,article
https://doi.org/10.1016/j.corsci.2023.111112,On the use of the Langmuir and other adsorption isotherms in corrosion inhibition,2023,179,True,article
https://doi.org/10.1016/j.corsci.2018.10.020,Passive film on 2205 duplex stainless steel studied by photo-electrochemistry and ARXPS methods,2018,178,False,article
https://doi.org/10.1016/j.corsci.2020.108914,Microstructure and corrosion behavior of 316L stainless steel prepared using different additive manufacturing methods: A comparative study bringing insights into the impact of microstructure on their passivity,2020,178,False,article
https://doi.org/10.1016/j.corsci.2017.09.025,"1,2,3-Triazole derivatives as corrosion inhibitors for mild steel in acidic medium: Experimental and computational chemistry studies",2017,177,False,article
https://doi.org/10.1016/j.corsci.2020.108831,Microstructure and corrosion behavior of Mg-Sc binary alloys in 3.5 wt.% NaCl solution,2020,177,False,article
https://doi.org/10.1016/j.corsci.2017.01.002,Corrosion characteristics of a 4-year naturally corroded reinforced concrete beam with load-induced transverse cracks,2017,176,False,article
https://doi.org/10.1016/j.corsci.2018.09.002,Influence of nitrogen on corrosion behaviour of high nitrogen martensitic stainless steels manufactured by pressurized metallurgy,2018,176,False,article
https://doi.org/10.1016/j.corsci.2020.108826,A systematic study of the oxidation behavior of Cr coatings on Zry4 substrates in high temperature steam environment,2020,176,False,article
https://doi.org/10.1016/j.corsci.2020.108856,Simplistic correlations between molecular electronic properties and inhibition efficiencies: Do they really exist?,2020,176,True,article
https://doi.org/10.1016/j.corsci.2022.110163,New insights on the different corrosion mechanisms of Mg alloys with solute-enriched stacking faults or long period stacking ordered phase,2022,176,False,article
https://doi.org/10.1016/j.corsci.2018.11.035,The effect of grain size and grain boundary misorientation on the corrosion resistance of commercially pure aluminium,2018,175,False,article
https://doi.org/10.1016/j.corsci.2016.03.020,The oxidation behavior of an equimolar FeCoNiCrMn high-entropy alloy at 950°C in various oxygen-containing atmospheres,2016,172,False,article
https://doi.org/10.1016/j.corsci.2016.11.016,Optimizing the nickel content in weathering steels to enhance their corrosion resistance in acidic atmospheres,2016,172,False,article
https://doi.org/10.1016/j.corsci.2018.04.018,Corrosion resistant nickel coating with strong adhesion on AZ31B magnesium alloy prepared by an in-situ shot-peening-assisted cold spray,2018,172,False,article
https://doi.org/10.1016/j.corsci.2020.108724,Imidazole derivatives as corrosion inhibitors for copper: A DFT and reactive force field study,2020,171,False,article
https://doi.org/10.1016/j.corsci.2020.109049,Highly orientated graphene/epoxy coating with exceptional anti-corrosion performance for harsh oxygen environments,2020,171,False,article
https://doi.org/10.1016/j.corsci.2021.109650,"Molecular modeling of organic corrosion inhibitors: Calculations, pitfalls, and conceptualization of molecule–surface bonding",2021,171,True,article
https://doi.org/10.1016/j.corsci.2021.109941,A self-healing corrosion protection coating with graphene oxide carrying 8-hydroxyquinoline doped in layered double hydroxide on a micro-arc oxidation coating,2021,171,False,article
https://doi.org/10.1016/j.corsci.2018.08.055,Investigation of the mechanism and characteristics of copper corrosion by sulfate reducing bacteria,2018,170,False,article
https://doi.org/10.1016/j.corsci.2015.05.016,Some effects of alloy composition on stress corrosion cracking in Al–Zn–Mg–Cu alloys,2015,170,True,article
https://doi.org/10.1016/j.corsci.2018.06.013,Self-healing ceria-modified coating for corrosion protection of AZ31 magnesium alloy,2018,169,False,article
https://doi.org/10.1016/j.corsci.2021.109524,A novel AlCrFeMoTi high-entropy alloy coating with a high corrosion-resistance in lead-bismuth eutectic alloy,2021,169,False,article
https://doi.org/10.1016/j.corsci.2022.110305,Corrosion and tribo-corrosion behaviors of nano-lamellar Ni1.5CrCoFe0.5Mo0.1Nbx eutectic high-entropy alloy coatings: The role of dual-phase microstructure,2022,169,False,article
https://doi.org/10.1016/j.corsci.2015.08.039,Stress corrosion cracking of E690 steel as a welded joint in a simulated marine atmosphere containing sulphur dioxide,2015,168,False,article
https://doi.org/10.1016/j.corsci.2015.09.011,The influence of the chemically bonded interface between fillers and binder on the failure behaviour of an epoxy coating under marine alternating hydrostatic pressure,2015,168,False,article
