加速腐蚀试验  accelerated corriosion test
杂散电流腐蚀  stray current corrosion
应力场强度因子  stress intensity factor
应力腐蚀断裂  stress corrosion cracking（SCC）
硫化  sulfidation
表面氧化  surface oxidation
表面处理  surface treatment
皮下腐蚀  subsurface corrosion
塔菲尔斜率  Tafel slope
失泽  tarnish
抗拉强度  tensile strength
热偶腐蚀  thermogalvanic corrosion
热力学  thermodynamics
结瘤腐蚀  tuberculation
穿晶腐蚀  transgranular corrosion
穿晶应力腐蚀断裂  transgranular stress corrosion cracking
过钝化  transpassive
膜下腐蚀  underfilm corrosion
均匀腐蚀  umiform corrosion
水线腐蚀  waterline corrosion
焊接腐蚀  weld decay
湿度  humidity
工作电极  working electrode
